Player,Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MVP_Award_Year,PlayerPhoto,TeamLogo
Giannis Antetokounmpo,2017-18,23,MIL,NBA,PF,75.0,75,36.7,9.9,18.7,.529,0.6,1.9,.307,9.3,16.8,.554,.545,6.5,8.5,.760,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
Giannis Antetokounmpo,2018-19,24,MIL,NBA,PF,72.0,72,32.8,10.0,17.3,.578,0.7,2.8,.256,9.3,14.5,.641,.599,6.9,9.5,.729,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
Giannis Antetokounmpo,2019-20,25,MIL,NBA,PF,63.0,63,30.4,10.9,19.7,.553,1.4,4.7,.304,9.5,15.0,.631,.589,6.3,10.0,.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
Giannis Antetokounmpo,2020-21,26,MIL,NBA,PF,61.0,61,33.0,10.3,18.0,.569,1.1,3.6,.303,9.2,14.4,.636,.600,6.5,9.5,.685,1.6,9.4,11.0,5.9,1.2,1.2,3.4,2.8,28.1,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
Giannis Antetokounmpo,2021-22,27,MIL,NBA,PF,67.0,67,32.9,10.3,18.6,.553,1.1,3.6,.293,9.2,15.0,.616,.582,8.3,11.4,.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
Giannis Antetokounmpo,2022-23,28,MIL,NBA,PF,63.0,63,32.1,11.2,20.3,.553,0.7,2.7,.275,10.5,17.6,.596,.572,7.9,12.3,.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
Giannis Antetokounmpo,2023-24,29,MIL,NBA,PF,73.0,73,35.2,11.5,18.8,.611,0.5,1.7,.274,11.0,17.1,.645,.624,7.0,10.7,.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
Giannis Antetokounmpo,2024-25,30,MIL,NBA,PF,44.0,44,34.2,12.5,20.4,.610,0.2,0.8,.194,12.3,19.6,.628,.614,6.0,10.4,.577,2.3,9.8,12.0,5.8,0.8,1.3,3.5,2.5,31.0,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
James Harden,2009-10,20,OKC,NBA,SG,76.0,0,22.9,3.1,7.6,.403,1.2,3.3,.375,1.8,4.3,.424,.484,2.6,3.2,.808,0.6,2.6,3.2,1.8,1.1,0.3,1.4,2.6,9.9,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
James Harden,2010-11,21,OKC,NBA,SG,82.0,5,26.7,3.6,8.3,.436,1.4,4.0,.349,2.3,4.4,.514,.518,3.5,4.2,.843,0.5,2.6,3.1,2.1,1.1,0.3,1.3,2.5,12.2,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
James Harden,2011-12,22,OKC,NBA,SG,62.0,2,31.4,5.0,10.1,.491,1.8,4.7,.390,3.1,5.4,.579,.582,5.0,6.0,.846,0.5,3.6,4.1,3.7,1.0,0.2,2.2,2.4,16.8,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
James Harden,2012-13,23,HOU,NBA,SG,78.0,78,38.3,7.5,17.1,.438,2.3,6.2,.368,5.2,10.9,.477,.504,8.6,10.2,.851,0.8,4.1,4.9,5.8,1.8,0.5,3.8,2.3,25.9,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
James Harden,2013-14,24,HOU,NBA,SG,73.0,73,38.0,7.5,16.5,.456,2.4,6.6,.366,5.1,9.9,.515,.529,7.9,9.1,.866,0.8,3.9,4.7,6.1,1.6,0.4,3.6,2.4,25.4,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
James Harden,2014-15,25,HOU,NBA,SG,81.0,81,36.8,8.0,18.1,.440,2.6,6.9,.375,5.4,11.3,.480,.511,8.8,10.2,.868,0.9,4.7,5.7,7.0,1.9,0.7,4.0,2.6,27.4,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
James Harden,2015-16,26,HOU,NBA,SG,82.0,82,38.1,8.7,19.7,.439,2.9,8.0,.359,5.8,11.7,.494,.512,8.8,10.2,.860,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
James Harden,2016-17,27,HOU,NBA,PG,81.0,81,36.4,8.3,18.9,.440,3.2,9.3,.347,5.1,9.6,.530,.525,9.2,10.9,.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
James Harden,2017-18,28,HOU,NBA,SG,72.0,72,35.4,9.0,20.1,.449,3.7,10.0,.367,5.4,10.1,.531,.541,8.7,10.1,.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
James Harden,2018-19,29,HOU,NBA,PG,78.0,78,36.8,10.8,24.5,.442,4.8,13.2,.368,6.0,11.3,.528,.541,9.7,11.0,.879,0.8,5.8,6.6,7.5,2.0,0.7,5.0,3.1,36.1,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
James Harden,2019-20,30,HOU,NBA,SG,68.0,68,36.5,9.9,22.3,.444,4.4,12.4,.355,5.5,9.9,.556,.543,10.2,11.8,.865,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
James Harden,2020-21,31,2TM,NBA,PG,44.0,43,36.6,7.8,16.7,.466,2.8,7.6,.362,5.0,9.1,.553,.548,6.3,7.3,.861,0.8,7.1,7.9,10.8,1.2,0.8,4.0,2.3,24.6,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,
James Harden,2020-21,31,HOU,NBA,PG,8.0,8,36.3,7.5,16.9,.444,3.1,9.0,.347,4.4,7.9,.556,.537,6.6,7.5,.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
James Harden,2020-21,31,BRK,NBA,PG,36.0,35,36.6,7.8,16.6,.471,2.7,7.3,.366,5.2,9.4,.552,.551,6.3,7.3,.856,0.8,7.7,8.5,10.9,1.3,0.8,4.0,2.4,24.6,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,
James Harden,2021-22,32,2TM,NBA,PG,65.0,65,37.2,6.3,15.3,.410,2.3,6.9,.330,4.0,8.4,.476,.485,7.2,8.2,.877,0.8,6.8,7.7,10.3,1.3,0.6,4.4,2.4,22.0,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,
James Harden,2021-22,32,BRK,NBA,PG,44.0,44,37.0,6.6,16.0,.414,2.3,7.0,.332,4.3,9.1,.476,.486,6.9,8.0,.869,1.0,7.0,8.0,10.2,1.3,0.7,4.8,2.4,22.5,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,
James Harden,2021-22,32,PHI,NBA,PG,21.0,21,37.7,5.5,13.6,.402,2.2,6.7,.326,3.3,6.9,.476,.483,7.9,8.9,.892,0.6,6.5,7.1,10.5,1.2,0.2,3.4,2.3,21.0,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
James Harden,2022-23,33,PHI,NBA,PG,58.0,58,36.8,6.4,14.5,.441,2.8,7.2,.385,3.6,7.3,.495,.536,5.4,6.2,.867,0.7,5.4,6.1,10.7,1.2,0.5,3.4,1.9,21.0,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
James Harden,2023-24,34,LAC,NBA,PG,72.0,72,34.3,4.9,11.4,.428,2.6,6.8,.381,2.3,4.6,.497,.541,4.2,4.8,.878,0.5,4.7,5.1,8.5,1.1,0.8,2.6,1.8,16.6,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
James Harden,2024-25,35,LAC,NBA,PG,53.0,53,34.4,6.4,16.0,.396,2.8,8.3,.342,3.5,7.7,.455,.485,6.2,7.0,.883,0.6,5.2,5.8,8.6,1.5,0.7,4.5,2.1,21.7,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
Russell Westbrook,2008-09,20,OKC,NBA,PG,82.0,65,32.5,5.3,13.4,.398,0.4,1.6,.271,4.9,11.8,.415,.414,4.3,5.2,.815,2.2,2.7,4.9,5.3,1.3,0.2,3.3,2.3,15.3,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Russell Westbrook,2009-10,21,OKC,NBA,PG,82.0,82,34.3,5.9,14.1,.418,0.3,1.3,.221,5.6,12.9,.438,.428,4.0,5.1,.780,1.7,3.1,4.9,8.0,1.3,0.4,3.3,2.5,16.1,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Russell Westbrook,2010-11,22,OKC,NBA,PG,82.0,82,34.7,7.5,17.0,.442,0.4,1.3,.330,7.1,15.7,.451,.454,6.5,7.7,.842,1.5,3.1,4.6,8.2,1.9,0.4,3.9,2.5,21.9,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Russell Westbrook,2011-12,23,OKC,NBA,PG,66.0,66,35.3,8.8,19.2,.457,0.9,3.0,.316,7.8,16.2,.482,.481,5.2,6.3,.823,1.5,3.1,4.6,5.5,1.7,0.3,3.6,2.2,23.6,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Russell Westbrook,2012-13,24,OKC,NBA,PG,82.0,82,34.9,8.2,18.7,.438,1.2,3.7,.323,7.0,15.1,.466,.470,5.6,7.0,.800,1.4,3.9,5.2,7.4,1.8,0.3,3.3,2.3,23.2,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Russell Westbrook,2013-14,25,OKC,NBA,PG,46.0,46,30.7,7.5,17.2,.437,1.5,4.7,.318,6.0,12.5,.482,.480,5.3,6.4,.826,1.2,4.5,5.7,6.9,1.9,0.2,3.8,2.3,21.8,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Russell Westbrook,2014-15,26,OKC,NBA,PG,67.0,67,34.4,9.4,22.0,.426,1.3,4.3,.299,8.1,17.7,.457,.455,8.1,9.8,.835,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Russell Westbrook,2015-16,27,OKC,NBA,PG,80.0,80,34.4,8.2,18.1,.454,1.3,4.3,.296,6.9,13.8,.503,.489,5.8,7.2,.812,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Russell Westbrook,2016-17,28,OKC,NBA,PG,81.0,81,34.6,10.2,24.0,.425,2.5,7.2,.343,7.7,16.8,.459,.476,8.8,10.4,.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Russell Westbrook,2017-18,29,OKC,NBA,PG,80.0,80,36.4,9.5,21.1,.449,1.2,4.1,.298,8.3,17.0,.485,.477,5.2,7.1,.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Russell Westbrook,2018-19,30,OKC,NBA,PG,73.0,73,36.0,8.6,20.2,.428,1.6,5.6,.290,7.0,14.5,.481,.468,4.1,6.2,.656,1.5,9.6,11.1,10.7,1.9,0.5,4.5,3.4,22.9,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Russell Westbrook,2019-20,31,HOU,NBA,PG,57.0,57,35.9,10.6,22.5,.472,1.0,3.7,.258,9.6,18.7,.514,.493,5.1,6.7,.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,27.2,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
Russell Westbrook,2020-21,32,WAS,NBA,PG,65.0,65,36.4,8.4,19.0,.439,1.3,4.2,.315,7.0,14.8,.475,.474,4.2,6.4,.656,1.7,9.9,11.5,11.7,1.4,0.4,4.8,2.9,22.2,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg
Russell Westbrook,2021-22,33,LAL,NBA,PG,78.0,78,34.3,7.0,15.8,.444,1.0,3.4,.298,6.0,12.4,.485,.476,3.4,5.1,.667,1.4,6.0,7.4,7.1,1.0,0.3,3.8,3.0,18.5,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
Russell Westbrook,2022-23,34,2TM,NBA,PG,73.0,24,29.1,5.9,13.6,.436,1.2,3.9,.311,4.7,9.7,.487,.481,2.8,4.3,.656,1.2,4.6,5.8,7.5,1.0,0.5,3.5,2.2,15.9,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,
Russell Westbrook,2022-23,34,LAL,NBA,PG,52.0,3,28.7,5.8,14.0,.417,1.2,4.1,.296,4.6,9.9,.467,.460,3.0,4.6,.655,1.1,5.0,6.2,7.5,1.0,0.4,3.5,2.3,15.9,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
Russell Westbrook,2022-23,34,LAC,NBA,PG,21.0,21,30.2,6.1,12.5,.489,1.2,3.5,.356,4.9,9.0,.540,.538,2.4,3.6,.658,1.4,3.4,4.9,7.6,1.1,0.5,3.4,2.0,15.8,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
Russell Westbrook,2023-24,35,LAC,NBA,PG,68.0,11,22.5,4.4,9.8,.454,0.6,2.3,.273,3.8,7.5,.509,.486,1.6,2.4,.688,1.4,3.7,5.0,4.5,1.1,0.3,2.1,1.8,11.1,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
Russell Westbrook,2024-25,36,DEN,NBA,PG,50.0,27,27.5,4.9,10.4,.471,1.2,3.5,.333,3.7,6.9,.542,.528,2.0,3.1,.635,1.4,3.7,5.0,6.3,1.4,0.5,3.1,2.5,13.0,2016-17,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Stephen Curry,2009-10,21,GSW,NBA,PG,80.0,77,36.2,6.6,14.3,.462,2.1,4.8,.437,4.5,9.5,.474,.535,2.2,2.5,.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,3.2,17.5,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Stephen Curry,2010-11,22,GSW,NBA,PG,74.0,74,33.6,6.8,14.2,.480,2.0,4.6,.442,4.8,9.6,.498,.551,2.9,3.1,.934,0.7,3.2,3.9,5.8,1.5,0.3,3.1,3.1,18.6,2015-16,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
